filme,data_lancamento,Duração do Filme,numero_avaliacoes,avaliacao
1. Um Sonho de Liberdade,1994,2h 22m,"3,000,000","9,3"
2. O Poderoso Chefão,1972,2h 55m,"2,100,000","9,2"
3. Batman: O Cavaleiro das Trevas,2008,2h 32m,"2,900,000","9,0"
4. O Poderoso Chefão: Parte II,1974,3h 22m,"1,400,000","9,0"
5. 12 Homens e uma Sentença,1957,1h 36m,"893,000","9,0"
6. O Senhor dos Anéis: O Retorno do Rei,2003,3h 21m,"2,000,000","9,0"
7. A Lista de Schindler,1993,3h 15m,"1,500,000","9,0"
8. Pulp Fiction: Tempo de Violência,1994,2h 34m,"2,300,000","8,9"
9. O Senhor dos Anéis: A Sociedade do Anel,2001,2h 58m,"2,100,000","8,9"
10. Três Homens em Conflito,1966,2h 41m,"830,000","8,8"
11. Forrest Gump: O Contador de Histórias,1994,2h 22m,"2,300,000","8,8"
12. O Senhor dos Anéis: As Duas Torres,2002,2h 59m,"1,800,000","8,8"
13. Clube da Luta,1999,2h 19m,"2,400,000","8,8"
14. A Origem,2010,2h 28m,"2,600,000","8,8"
15. Star Wars: Episódio V - O Império Contra-Ataca,1980,2h 4m,"1,400,000","8,7"
16. Matrix,1999,2h 16m,"2,100,000","8,7"
17. Os Bons Companheiros,1990,2h 25m,"1,300,000","8,7"
18. Um Estranho no Ninho,1975,2h 13m,"1,100,000","8,7"
19. Interestelar,2014,2h 49m,"2,200,000","8,7"
20. Seven: Os Sete Crimes Capitais,1995,2h 7m,"1,900,000","8,6"
21. A Felicidade Não se Compra,1946,2h 10m,"509,000","8,6"
22. Os Sete Samurais,1954,3h 27m,"375,000","8,6"
23. O Silêncio dos Inocentes,1991,1h 58m,"1,600,000","8,6"
24. O Resgate do Soldado Ryan,1998,2h 49m,"1,500,000","8,6"
25. Cidade de Deus,2002,2h 10m,"818,000","8,6"
26. À Espera de um Milagre,1999,3h 9m,"1,400,000","8,6"
27. A Vida é Bela,1997,1h 56m,"759,000","8,6"
28. O Exterminador do Futuro 2: O Julgamento Final,1991,2h 17m,"1,200,000","8,6"
29. Star Wars: Episódio IV - Uma Nova Esperança,1977,2h 1m,"1,500,000","8,6"
30. De Volta para o Futuro,1985,1h 56m,"1,300,000","8,5"
31. A Viagem de Chihiro,2001,2h 4m,"879,000","8,6"
32. O Pianista,2002,2h 30m,"939,000","8,5"
33. Parasita,2019,2h 12m,"1,000,000","8,5"
34. Psicose,1960,1h 49m,"736,000","8,5"
35. Gladiador,2000,2h 35m,"1,700,000","8,5"
36. O Rei Leão,1994,1h 28m,"1,200,000","8,5"
37. Os Infiltrados,2006,2h 31m,"1,500,000","8,5"
38. Homem-Aranha: Através do Aranhaverso,2023,2h 20m,"415,000","8,6"
39. Whiplash: Em Busca da Perfeição,2014,1h 46m,"1,000,000","8,5"
40. Túmulo dos Vagalumes,1988,1h 28m,"328,000","8,5"
41. A Outra História Americana,1998,1h 59m,"1,200,000","8,5"
42. O Profissional,1994,1h 50m,"1,300,000","8,5"
43. O Grande Truque,2006,2h 10m,"1,500,000","8,5"
44. Harakiri,1962,2h 13m,"73,000","8,6"
45. Casablanca,1942,1h 42m,"618,000","8,5"
46. Os Suspeitos,1995,1h 46m,"1,200,000","8,5"
47. Intocáveis,2011,1h 52m,"952,000","8,5"
48. Duna: Parte 2,2024,2h 46m,"542,000","8,5"
49. Cinema Paradiso,1988,2h 54m,"291,000","8,5"
50. Tempos Modernos,1936,1h 27m,"265,000","8,5"
51. Alien - O 8º Passageiro,1979,1h 57m,"990,000","8,5"
52. Janela Indiscreta,1954,1h 52m,"534,000","8,5"
53. Era uma Vez no Oeste,1968,2h 46m,"356,000","8,5"
54. Django Livre,2012,2h 45m,"1,700,000","8,5"
55. Luzes da Cidade,1931,1h 27m,"200,000","8,5"
56. Apocalypse Now,1979,2h 27m,"725,000","8,4"
57. Amnésia,2000,1h 53m,"1,300,000","8,4"
58. WALL·E,2008,1h 38m,"1,200,000","8,4"
59. Os Caçadores da Arca Perdida,1981,1h 55m,"1,100,000","8,4"
60. A Vida dos Outros,2006,2h 17m,"418,000","8,4"
61. Repetente,2023,2h 27m,"134,000","8,8"
62. Crepúsculo dos Deuses,1950,1h 50m,"242,000","8,4"
63. Vingadores: Guerra Infinita,2018,2h 29m,"1,200,000","8,4"
64. Glória Feita de Sangue,1957,1h 28m,"219,000","8,4"
65. Homem-Aranha: No Aranhaverso,2018,1h 57m,"700,000","8,4"
66. Testemunha de Acusação,1957,1h 56m,"142,000","8,4"
67. O Iluminado,1980,2h 26m,"1,100,000","8,4"
68. O Grande Ditador,1940,2h 5m,"242,000","8,4"
69. Aliens: O Resgate,1986,2h 17m,"791,000","8,4"
70. Bastardos Inglórios,2009,2h 33m,"1,600,000","8,4"
71. Batman: O Cavaleiro das Trevas Ressurge,2012,2h 44m,"1,900,000","8,4"
72. Viva: A Vida é uma Festa,2017,1h 45m,"621,000","8,4"
73. Amadeus,1984,2h 40m,"438,000","8,4"
74. Toy Story,1995,1h 21m,"1,100,000","8,3"
75. Dr. Fantástico,1964,1h 35m,"528,000","8,3"
76. Oldboy,2003,2h,"656,000","8,3"
77. Beleza Americana,1999,2h 2m,"1,200,000","8,3"
78. Vingadores: Ultimato,2019,3h 1m,"1,300,000","8,4"
79. O Barco: Inferno no Mar,1981,2h 29m,"270,000","8,4"
80. Coração Valente,1995,2h 58m,"1,100,000","8,3"
81. Gênio Indomável,1997,2h 6m,"1,100,000","8,3"
82. Princesa Mononoke,1997,2h 13m,"446,000","8,3"
83. Seu Nome,2016,1h 46m,"338,000","8,4"
84. Coringa,2019,2h 2m,"1,600,000","8,4"
85. Céu e Inferno,1963,2h 23m,"56,000","8,4"
86. 3 Idiotas,2009,2h 50m,"446,000","8,4"
87. Era uma Vez na América,1984,3h 49m,"386,000","8,3"
88. Cantando na Chuva,1952,1h 43m,"266,000","8,3"
89. Cafarnaum,2018,2h 6m,"110,000","8,4"
90. Vá e Veja,1985,2h 22m,"104,000","8,3"
91. Réquiem para um Sonho,2000,1h 42m,"919,000","8,3"
92. Toy Story 3,2010,1h 43m,"911,000","8,3"
